sex,age,height,weight
m,164,57.8,95
m,162,63,91
f,147,61.3,115
m,183,66,105.5
m,140,59.5,94.5
m,206,69.5,171.5
m,159,63.3,112
f,149,58.3,93
m,164,66.5,112
f,175,60.3,86
m,189,66.3,112
f,175,60.8,93.5
f,144,59.5,93.5
f,143,58.3,77.5
m,153,64.8,128
m,153,60,84
m,180,61.8,104
f,147,59.8,84.5
m,164,60.5,95
m,143,57.5,75
m,175,63.5,98.5
m,188,71,140
m,143,57.5,101
m,171,61.8,112
m,173,61.3,93
f,191,65.3,107
m,151,58.3,86
m,139,60.5,87
m,150,61.8,118
m,149,56.3,72
f,142,56.5,69
m,151,66.3,117
m,148,60.5,118
m,167,62,107.5
f,140,53.8,68.5
m,147,57,84
m,144,60,89
f,139,52.8,63.5
m,156,61.8,112
f,143,56.3,85
f,144,55.8,73.5
m,146,57.5,90
f,155,62.3,105
f,178,61.5,103.5
f,166,59.3,89.5
f,193,59.8,115
m,166,62.5,84
f,165,55.5,67
