sex,age,height,weight
f,147,59.5,101
m,160,59.3,78.5
f,148,59,95
m,149,57,92
m,156,61.5,108.5
m,177,63,111
f,169,62,98.5
m,189,67,128
f,197,61.5,121
m,145,56.5,91
m,139,55,73.5
m,193,72,150
m,142,55,76
f,143,61.5,116.5
m,186,66,112
f,183,66.5,112
m,189,65,114
m,163,65.3,117.5
f,184,62.3,108
f,154,61,122.5
m,183,64.8,111
m,147,50.5,79
m,172,65,112
m,162,64.5,119
m,164,61.5,140
m,156,66.3,106
m,168,66.5,111.5
f,180,59,112
f,173,62.8,102.5
m,150,59.5,84
f,164,65.3,98
f,182,62,91.5
m,151,61,81
m,152,60.8,97
m,160,64,116
f,156,54.5,75
f,177,61.3,112
m,250,67.5,171.5
m,141,57.5,85
f,210,65.5,140
m,150,59,99.5
m,176,63.8,98.5
m,150,60.8,128
f,157,64.5,123.5
m,174,66,108
m,168,60,93.5
f,139,57.5,96
f,145,57.8,84
f,150,54.5,74
m,170,63.8,112.5
m,157,58,80.5
m,173,66,112
m,177,60.5,112
f,150,61.3,94
f,145,58.8,89
f,149,64.3,110.5
m,144,62.8,94
f,177,61.8,142.5
f,182,58.3,104.5
m,169,62,100
f,186,57.8,95
f,169,62.3,99.5
m,196,64.5,98
f,170,64.3,90
f,190,66.8,140
f,177,61.3,81
m,193,66.3,133
f,155,61.3,107
f,178,63.5,148.5
f,166,61.5,103.5
m,178,67.3,119.5
m,174,63,112
f,168,61.5,95
f,197,64.8,112
f,185,60,106
f,189,64.3,113.5
f,178,66.5,117.5
m,200,71,147
f,167,61,93.5
f,145,59,91.5
m,157,60.5,105
m,166,62,91
m,142,58.8,84
m,150,59,98
f,176,61.3,112
f,147,55.8,75
f,183,64.5,102.5
m,182,67,133
f,163,56.5,84
f,185,59,104
f,146,60,109
m,149,52.5,81
m,186,66.5,112
m,160,60.5,84
m,173,69,112.5
m,140,58.5,86.5
f,143,51.3,50.5
f,154,60,114
m,166,67.3,121
f,183,64.3,109.5
f,143,55.5,84
f,154,62.8,93.5
f,165,61.3,106.5
m,146,57.3,83
m,142,56,87.5
f,147,58.3,111.5
m,152,59.5,105
f,152,60.5,105
m,206,68.3,134
f,140,60,77
m,159,62.8,99
m,178,63.5,102.5
f,171,62.5,112
f,150,59.5,78.5
f,146,56.3,83.5
f,148,56.3,77
f,142,56,72.5
f,155,66,144.5
m,185,66,105
f,141,61.8,85
f,186,63.5,108
m,150,59.5,84
f,162,58,84
f,148,60.5,84.5
m,141,53.3,84
m,176,65,118.5
f,161,59,92
m,156,58.3,92.5
m,203,66.5,117
f,167,62.3,92.5
f,147,51.5,64
f,141,61.3,85
m,193,67.8,127.5
f,153,63.3,108
f,190,56.8,98.5
f,144,61,92
m,140,56.5,84
m,142,55,70
m,188,63.3,115.5
m,140,56.8,83.5
m,194,65.3,134.5
f,157,60.5,112
m,165,64.8,98
m,175,68,112
m,164,63.5,108
f,180,63.3,114
f,140,53.5,81
f,164,58,83.5
f,172,64.8,142
m,144,57,84
m,161,56.8,75
f,171,61.5,91
m,175,64,92
m,188,65.8,150.5
m,155,61.8,91.5
f,191,62.5,112.5
f,160,62,94.5
f,164,63.3,108
f,191,63.3,113.5
m,156,68.5,114
m,151,59.3,87
f,179,63,98.5
f,182,65.5,133
m,174,69.8,119.5
m,175,65.5,114
m,176,61.5,81
f,141,56,72.5
f,171,63,84
m,146,55,71.5
f,182,64,111.5
f,180,61.3,110.5
m,158,65,121
m,155,57.3,80.5
f,185,63.3,101
f,169,61.5,85
m,178,63.8,112
f,210,62,116
m,144,59.5,88
m,162,60,105
f,139,61.5,104
m,184,66.5,112
m,163,66,112
m,144,57.3,76.5
m,144,60,117.5
m,153,57.8,79.5
f,185,65.3,118
m,164,58,84
m,188,67.3,112
f,186,57,83.5
