DayofMonth,DayOfWeek,DepTime,CRSDepTime,UniqueCarrier,FlightNum,TailNum,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,ArrDelay
7,1,1641,1645,WN,1774,N434WN,-4,BWI,ALB,288,2,10,-10
7,1,831,830,WN,3397,N402WN,1,ALB,BWI,288,5,6,-9
6,7,833,830,WN,300,N745SW,3,ISP,MDW,765,5,8,-6
7,1,1728,1730,WN,46,N726SW,-2,HOU,DAL,239,4,10,-5
4,5,824,820,WN,635,N466WN,4,MDW,SAN,1728,3,7,-4
7,1,1931,1935,WN,201,N792SW,-4,LAS,SNA,226,5,17,-2
6,7,930,930,WN,458,N419WN,0,MCO,BWI,787,4,12,-2
7,1,1603,1605,WN,2730,N207WN,-2,SDF,LAS,1624,6,17,-1
7,1,1818,1810,WN,2900,N219WN,8,MCI,TUL,223,3,11,6
4,5,658,700,WN,474,N348SW,-2,SEA,SMF,605,8,14,16
4,5,1910,1900,WN,1587,N740SW,10,BUR,OAK,325,21,10,21
4,5,2145,2115,WN,632,N268WN,30,LAS,DEN,629,8,16,21
4,5,1151,1140,WN,970,N742SW,11,SNA,SMF,404,5,5,25
5,6,1302,1155,WN,1079,N297WN,67,LAS,AMA,758,4,40,78
8,2,1410,1415,WN,348,N430WN,-5,MCO,PHL,861,4,13,-17
6,7,1157,1150,WN,1488,N718SW,7,MDW,IAD,577,6,9,-13
8,2,1623,1625,WN,303,N315SW,-2,OKC,PHX,833,5,5,-11
8,2,1642,1645,WN,2802,N233LV,-3,TPA,FLL,197,4,13,-10
5,6,1832,1835,WN,1076,N255WN,-3,RDU,MDW,632,6,10,-7
8,2,1300,1300,WN,718,N252WN,0,FLL,MCO,178,7,13,-6
9,3,1318,1310,WN,3232,N240WN,8,LAS,MDW,1521,6,22,-2
3,4,1252,1245,WN,449,N528SW,7,OKC,HOU,419,3,8,-1
6,7,2125,2125,WN,1686,N709SW,0,BWI,BDL,283,8,8,0
7,1,1130,1130,WN,3311,N777QC,0,TPA,ISP,1034,4,10,0
8,2,1108,1110,WN,1156,N385SW,-2,SMF,SAN,480,2,10,0
7,1,1026,1030,WN,762,N220WN,-4,LAS,MSY,1501,4,23,1
3,4,1626,1610,WN,2005,N267WN,16,TUS,LAS,365,5,6,9
5,6,1155,1150,WN,12,N677AA,5,AMA,LAS,758,10,16,15
5,6,1636,1545,WN,1252,N726SW,51,SMF,BUR,358,2,8,48
4,5,1437,1330,WN,78,N455WN,67,SAN,OAK,446,6,13,70
7,1,2131,2100,WN,1050,N443WN,31,STL,MDW,251,7,58,91
5,6,1604,1430,WN,656,N282WN,94,LAX,SFO,337,4,9,93
4,5,1957,1615,WN,933,N729SW,222,PHX,HOU,1020,2,7,207
7,1,1805,1810,WN,2453,N417WN,-5,PHX,SMF,647,3,7,-11
8,2,1314,1315,WN,3484,N240WN,-1,TPA,MHT,1204,7,8,-10
